scope,tmk_key,mortgage_status,unit_count
portfolio,,likely_open,256
portfolio,,none,60
tmk,239004082,likely_open,201
tmk,239004082,none,39
tmk,239004143,likely_open,17
tmk,239004143,none,11
tmk,239004144,likely_open,38
tmk,239004144,none,10
