PARID,SALEDATE,PRICE,RECORDDATE,INSTRUNO,INSTRUTYPE,LANDCOURT_NO,CERT_NO,BOOK,PAGE,CONV_TAX,DOC_TYPE,VALCODE,VALCODE,SALETYP
210080820004     ,1990/10/29,          ,          ,0000000000          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
210080820005     ,2024/09/19,          ,2024/10/25,                    ,Recorded document                       ,T12716184                               ,12716184                                ,        ,        ,                                        ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080820005     ,2020/04/15,    710000,2020/04/22,                    ,Fee conveyance                          ,T11069115                               ,1192688                                 ,        ,        ,1775                                    ,Exchange deed                           ,Valid Sale                              ,0 ,Improved
210080820005     ,2015/04/23,    615000,2015/05/01,                    ,Fee conveyance                          ,T9251234                                ,1096774                                 ,        ,        ,1537.5                                  ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
210080820005     ,1990/12/13,    320250,1991/02/12,0000000000          ,Fee conveyance                          ,1800676                                 ,365939                                  ,        ,        ,160.10                                  ,                                        ,Valid                                   ,X ,Improved
210080820005     ,1990/10/29,          ,          ,0000000000          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
210080820006     ,2024/09/19,          ,2024/10/25,                    ,Recorded document                       ,T12716184                               ,12716184                                ,        ,        ,                                        ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080820006     ,2022/03/20,    895000,2022/04/01,                    ,Fee conveyance                          ,T11778062                               ,1234511                                 ,        ,        ,2237.5                                  ,Exchange deed                           ,Other                                   ,2 ,Improved
210080820006     ,2014/11/12,    595000,2014/11/19,                    ,Fee conveyance                          ,T9088398                                ,1088103                                 ,        ,        ,892.5                                   ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
210080820006     ,2010/05/18,          ,2010/05/27,                    ,Fee conveyance                          ,3966828                                 ,983544                                  ,        ,        ,862.5                                   ,Apartment deed                          ,                                        ,  ,Improved
210080820006     ,1996/11/06,    190000,1996/11/27,0000000000          ,Fee conveyance                          ,2350217                                 ,483783                                  ,        ,        ,190.00                                  ,                                        ,Valid Sale                              ,0 ,Improved
210080820006     ,1991/12/01,    325000,          ,                    ,Fee conveyance                          ,                                        ,                                        ,        ,        ,                                        ,                                        ,Valid Sale                              ,0 ,Improved
210080820006     ,1990/12/13,    325000,1991/06/03,0000000000          ,Fee conveyance                          ,1824727                                 ,330616                                  ,        ,        ,162.50                                  ,                                        ,Valid Sale                              ,0 ,Improved
210080820006     ,1990/10/29,          ,          ,0000000000          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,Improved
210080820007     ,2024/10/24,   1390000,2024/10/30,                    ,Fee conveyance                          ,T12721042                               ,1276611                                 ,        ,        ,5560                                    ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
