PARID,SALEDATE,PRICE,RECORDDATE,INSTRUNO,INSTRUTYPE,LANDCOURT_NO,CERT_NO,BOOK,PAGE,CONV_TAX,DOC_TYPE,VALCODE,VALCODE,SALETYP
390041430000     ,2025/01/01,          ,2025/01/01,                    ,Route slip                              ,                                        ,                                        ,        ,        ,                                        ,Route Slip                              ,                                        ,  ,
390041430000     ,2010/09/15,          ,2010/09/15,                    ,Route slip                              ,                                        ,                                        ,        ,        ,                                        ,Route Slip                              ,                                        ,  ,
390041430000     ,1989/05/17,          ,1989/08/22,8900126804          ,                                        ,                                        ,                                        ,23552   ,710     ,                                        ,                                        ,                                        ,  ,
390041430000     ,1988/06/01,          ,1988/07/28,8800107561          ,                                        ,                                        ,                                        ,22185   ,204     ,0.00                                    ,                                        ,                                        ,  ,
390041430000     ,1988/04/20,          ,1988/05/23,8800070858          ,                                        ,                                        ,                                        ,21953   ,706     ,0.00                                    ,                                        ,                                        ,  ,
390041430000     ,1988/04/08,          ,1988/05/23,8800070857          ,Fee conveyance                          ,                                        ,                                        ,21953   ,689     ,0.00                                    ,                                        ,                                        ,  ,
390041430001     ,2017/06/28,    575000,2017/08/14,A64350080           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,862.5                                   ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
390041430001     ,2010/09/15,          ,2010/09/15,                    ,Route slip                              ,                                        ,                                        ,        ,        ,                                        ,Route Slip                              ,                                        ,  ,
390041430001     ,2005/01/04,    590000,2005/01/10,05-004810           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,590                                     ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
390041430001     ,2004/12/28,      1000,2005/01/10,05-004809           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,1                                       ,Warranty deed                           ,Other                                   ,7 ,Improved
390041430001     ,2000/08/09,    275000,2000/08/15,0000112895          ,Fee conveyance                          ,                                        ,                                        ,        ,        ,275.00                                  ,                                        ,Valid Sale                              ,0 ,Improved
390041430001     ,1989/01/17,    185000,1989/01/23,8900009359          ,Fee conveyance                          ,                                        ,                                        ,22792   ,305     ,92.50                                   ,                                        ,Valid                                   ,X ,Improved
390041430001     ,1988/06/01,          ,1988/07/28,8800107561          ,                                        ,                                        ,                                        ,22185   ,204     ,0.00                                    ,                                        ,                                        ,  ,
390041430002     ,2012/09/14,          ,2012/12/14,A47310809           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,0                                       ,Apartment deed                          ,                                        ,  ,
390041430002     ,2010/09/15,          ,2010/09/15,                    ,Route slip                              ,                                        ,                                        ,        ,        ,                                        ,Route Slip                              ,                                        ,  ,
390041430002     ,1993/03/12,    244000,1993/03/24,9300047014          ,Fee conveyance                          ,                                        ,                                        ,        ,        ,122.00                                  ,                                        ,Valid                                   ,X ,Improved
390041430002     ,1989/07/26,          ,1989/10/31,8900167351          ,Fee conveyance                          ,                                        ,                                        ,23827   ,625     ,0.00                                    ,                                        ,                                        ,  ,
390041430002     ,1988/12/14,    168000,1988/12/20,8800183161          ,Fee conveyance                          ,                                        ,                                        ,22677   ,547     ,84.00                                   ,                                        ,Valid                                   ,X ,Improved
390041430002     ,1988/06/01,          ,1988/07/28,8800107561          ,                                        ,                                        ,                                        ,22185   ,204     ,0.00                                    ,                                        ,                                        ,  ,
390041430003     ,2010/09/15,          ,2010/09/15,                    ,Route slip                              ,                                        ,                                        ,        ,        ,                                        ,Route Slip                              ,                                        ,  ,
390041430003     ,1991/12/02,          ,1991/12/04,9100166198          ,Fee conveyance                          ,                                        ,                                        ,        ,        ,0.00                                    ,                                        ,                                        ,  ,
390041430003     ,1989/04/17,    198000,1989/04/21,8900056123          ,Fee conveyance                          ,                                        ,                                        ,23094   ,623     ,99.00                                   ,                                        ,Valid                                   ,X ,Improved
390041430003     ,1989/04/07,    198000,1989/04/21,8900056124          ,Fee conveyance                          ,                                        ,                                        ,23094   ,630     ,99.00                                   ,                                        ,Valid                                   ,X ,Improved
390041430003     ,1989/01/16,    158000,1989/01/31,8900013725          ,Fee conveyance                          ,                                        ,                                        ,22818   ,520     ,79.00                                   ,                                        ,                                        ,  ,
390041430003     ,1988/06/01,          ,1988/07/28,8800107561          ,                                        ,                                        ,                                        ,22185   ,204     ,0.00                                    ,                                        ,                                        ,  ,
390041430004     ,2010/09/15,          ,2010/09/15,                    ,Route slip                              ,                                        ,                                        ,        ,        ,                                        ,Route Slip                              ,                                        ,  ,
390041430004     ,1995/08/22,    205000,1995/09/01,9500112885          ,Fee conveyance                          ,                                        ,                                        ,        ,        ,205.00                                  ,                                        ,Valid                                   ,X ,Improved
390041430004     ,1989/01/17,    148500,1989/01/19,8900007571          ,Fee conveyance                          ,                                        ,                                        ,22779   ,751     ,74.25                                   ,                                        ,Valid                                   ,X ,Improved
390041430004     ,1988/06/01,          ,1988/07/28,8800107561          ,                                        ,                                        ,                                        ,22185   ,204     ,0.00                                    ,                                        ,                                        ,  ,
390041430005     ,2010/09/15,          ,2010/09/15,                    ,Route slip                              ,                                        ,                                        ,        ,        ,                                        ,Route Slip                              ,                                        ,  ,
390041430005     ,2005/08/05,    790000,2005/08/10,05-158235           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,1975                                    ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
390041430005     ,2003/04/14,    475000,2003/04/22,03-072656           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,475                                     ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
390041430005     ,1995/06/01,    245000,          ,                    ,Fee conveyance                          ,                                        ,                                        ,        ,        ,                                        ,                                        ,Valid                                   ,X ,Improved
390041430005     ,1989/01/17,    176000,1989/01/23,8900009381          ,Fee conveyance                          ,                                        ,                                        ,22792   ,407     ,88.00                                   ,                                        ,Valid                                   ,X ,Improved
390041430005     ,1988/06/01,          ,1988/07/28,8800107561          ,                                        ,                                        ,                                        ,22185   ,204     ,0.00                                    ,                                        ,                                        ,  ,
390041430005     ,1900/01/01,    245000,1995/06/30,9500085847          ,Fee conveyance                          ,                                        ,                                        ,        ,        ,245.00                                  ,                                        ,                                        ,  ,
390041430006     ,2022/05/20,   1380000,2022/05/26,A81810206           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,5520                                    ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
390041430006     ,2019/01/04,      1000,2019/04/09,A70380356           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,1.5                                     ,Warranty deed                           ,                                        ,  ,
390041430006     ,2010/09/15,          ,2010/09/15,                    ,Route slip                              ,                                        ,                                        ,        ,        ,                                        ,Route Slip                              ,                                        ,  ,
390041430006     ,2005/01/14,    695000,2005/01/25,05-014164           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,695                                     ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
390041430006     ,1999/04/07,    297500,1999/04/16,9900058619          ,Fee conveyance                          ,                                        ,                                        ,        ,        ,297.50                                  ,                                        ,Valid                                   ,X ,Improved
390041430006     ,1988/12/22,    188500,1988/12/30,8800189338          ,Fee conveyance                          ,                                        ,                                        ,22726   ,591     ,94.25                                   ,                                        ,Valid                                   ,X ,Improved
390041430006     ,1988/10/25,          ,1988/11/01,8800159215          ,                                        ,                                        ,                                        ,22523   ,217     ,                                        ,                                        ,                                        ,  ,
390041430006     ,1988/06/01,          ,1988/07/28,8800107561          ,                                        ,                                        ,                                        ,22185   ,204     ,0.00                                    ,                                        ,                                        ,  ,
390041430007     ,2010/09/15,          ,2010/09/15,                    ,Route slip                              ,                                        ,                                        ,        ,        ,                                        ,Route Slip                              ,                                        ,  ,
390041430007     ,1988/12/15,    140500,1988/12/28,8800187651          ,Fee conveyance                          ,                                        ,                                        ,22713   ,731     ,70.25                                   ,                                        ,Valid                                   ,X ,Improved
390041430007     ,1988/06/01,          ,1988/07/28,8800107561          ,                                        ,                                        ,                                        ,22185   ,204     ,0.00                                    ,                                        ,                                        ,  ,
390041430008     ,2015/01/28,          ,2015/02/18,A55270523           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,0                                       ,Apartment deed                          ,Other                                   ,2 ,
390041430008     ,2013/11/15,    550000,2013/11/20,A50720008           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,825                                     ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
390041430008     ,2010/09/15,          ,2010/09/15,                    ,Route slip                              ,                                        ,                                        ,        ,        ,                                        ,Route Slip                              ,                                        ,  ,
390041430008     ,2004/04/13,    497000,2004/04/30,04-086287           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,497                                     ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
390041430008     ,2002/05/14,    335000,2002/05/30,02-094710           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,335.00                                  ,Apartment deed                          ,                                        ,  ,
390041430008     ,1990/12/20,    250000,1990/12/27,9000197554          ,Fee conveyance                          ,                                        ,                                        ,        ,        ,125.00                                  ,                                        ,                                        ,  ,
390041430008     ,1990/03/09,    250000,1990/03/21,9000039842          ,Fee conveyance                          ,                                        ,                                        ,        ,        ,125.00                                  ,                                        ,Valid                                   ,X ,Improved
390041430008     ,1989/01/23,          ,1989/01/26,8900011599          ,Fee conveyance                          ,                                        ,                                        ,22804   ,103     ,0.00                                    ,                                        ,                                        ,  ,
