PARID,SALEDATE,PRICE,RECORDDATE,INSTRUNO,INSTRUTYPE,LANDCOURT_NO,CERT_NO,BOOK,PAGE,CONV_TAX,DOC_TYPE,VALCODE,VALCODE,SALETYP
210080830002     ,2007/02/02,          ,2007/02/07,                    ,Fee conveyance                          ,3556648                                 ,844601                                  ,        ,        ,0                                       ,Quitclaim apartment deed                ,                                        ,  ,
210080830002     ,2007/02/02,          ,2007/03/15,                    ,Fee conveyance                          ,3574393                                 ,849711                                  ,        ,        ,0                                       ,Quitclaim apartment deed                ,                                        ,  ,
210080830002     ,2006/12/21,          ,2007/01/10,                    ,Fee conveyance                          ,3538480                                 ,840761                                  ,        ,        ,0                                       ,Apartment deed                          ,                                        ,  ,
210080830002     ,2006/12/21,          ,2006/12/29,                    ,Fee conveyance                          ,3534395                                 ,839702                                  ,        ,        ,0                                       ,Apartment deed                          ,                                        ,  ,
210080830002     ,2003/09/17,          ,2004/06/04,                    ,Fee conveyance                          ,3119081                                 ,700119                                  ,        ,        ,0                                       ,Limited warranty/apartment deed         ,                                        ,  ,
210080830002     ,2000/01/19,    330000,2000/01/25,0000000000          ,Fee conveyance                          ,2602977                                 ,547,388                                 ,        ,        ,330.00                                  ,                                        ,Valid                                   ,X ,Improved
210080830002     ,1997/04/17,    204450,1997/05/12,0000000000          ,Fee conveyance                          ,2380295                                 ,491569                                  ,        ,        ,204.50                                  ,                                        ,Developer sale                          ,8 ,Improved
210080830002     ,1900/01/01,          ,          ,0000000000          ,                                        ,1815194                                 ,315856                                  ,        ,        ,                                        ,                                        ,                                        ,  ,
210080830003     ,2024/11/01,   1150000,2024/11/07,                    ,Fee conveyance                          ,T12729100                               ,1277000                                 ,        ,        ,3450                                    ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
210080830003     ,2024/10/18,          ,2024/11/07,                    ,Land Court Order (all types)            ,T12729099                               ,                                        ,        ,        ,                                        ,Land Court Order (all types)            ,                                        ,  ,
210080830003     ,2022/01/21,          ,2022/02/17,                    ,Fee conveyance                          ,T11735262                               ,1232116                                 ,        ,        ,                                        ,Apartment deed                          ,                                        ,  ,
210080830003     ,2021/12/03,          ,2022/02/17,                    ,Land Court Order (all types)            ,T11735261                               ,                                        ,        ,        ,                                        ,Land Court Order (all types)            ,                                        ,  ,
210080830003     ,2020/06/08,          ,2020/08/14,                    ,Recorded document                       ,T11183321                               ,                                        ,        ,        ,                                        ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080830003     ,2019/12/10,          ,2020/01/10,T10966225           ,Recorded document                       ,                                        ,                                        ,        ,        ,                                        ,Declaration of/Restatement of CPR       ,                                        ,  ,
210080830003     ,2017/12/04,          ,2017/12/22,                    ,Recorded document                       ,T10217497                               ,                                        ,        ,        ,0                                       ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080830003     ,2017/04/18,          ,2017/05/04,                    ,Recorded document                       ,T9985173                                ,                                        ,        ,        ,0                                       ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080830003     ,2010/08/18,          ,2010/08/18,                    ,Route slip                              ,                                        ,                                        ,        ,        ,                                        ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080830003     ,1997/04/11,    212100,1997/04/18,0000000000          ,Fee conveyance                          ,2376455                                 ,490507                                  ,        ,        ,212.10                                  ,                                        ,Developer sale                          ,8 ,Improved
210080830003     ,1900/01/01,          ,          ,0000000000          ,                                        ,1815194                                 ,315856                                  ,        ,        ,                                        ,                                        ,                                        ,  ,
210080830004     ,2025/12/16,          ,2026/01/06,                    ,Fee conveyance                          ,T13154148                               ,1295169                                 ,        ,        ,                                        ,Deed to trust                           ,                                        ,  ,
210080830004     ,2025/09/22,   1200000,2025/10/17,                    ,Fee conveyance                          ,T13073031                               ,1291877                                 ,        ,        ,3600                                    ,Apartment deed                          ,Valid Sale                              ,0 ,
210080830004     ,2020/06/08,          ,2020/08/14,                    ,Recorded document                       ,T11183321                               ,                                        ,        ,        ,                                        ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080830004     ,2019/12/10,          ,2020/01/10,T10966225           ,Recorded document                       ,                                        ,                                        ,        ,        ,                                        ,Declaration of/Restatement of CPR       ,                                        ,  ,
210080830004     ,2017/12/04,          ,2017/12/22,                    ,Recorded document                       ,T10217497                               ,                                        ,        ,        ,0                                       ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080830004     ,2017/04/18,          ,2017/05/04,                    ,Recorded document                       ,T9985173                                ,                                        ,        ,        ,0                                       ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080830004     ,2013/01/17,    592500,2013/01/31,                    ,Fee conveyance                          ,T8431261                                ,1055093                                 ,        ,        ,888.8                                   ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
210080830004     ,2011/11/29,    535000,2011/12/06,                    ,Fee conveyance                          ,4116350                                 ,1035544                                 ,        ,        ,535                                     ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
210080830004     ,2010/11/23,          ,2010/11/29,                    ,Land Court Order (all types)            ,185024                                  ,912307                                  ,        ,        ,                                        ,Land Court Order (all types)            ,Related individuals                     ,4 ,Improved
210080830004     ,2010/08/18,          ,2010/08/18,                    ,Route slip                              ,                                        ,                                        ,        ,        ,                                        ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080830004     ,2008/06/03,          ,2008/06/20,                    ,Fee conveyance                          ,3761289                                 ,912307                                  ,        ,        ,0                                       ,Deed to trust                           ,                                        ,  ,
210080830004     ,1999/03/05,    350000,1999/03/12,0000000000          ,Fee conveyance                          ,2527522                                 ,437,910                                 ,        ,        ,350.00                                  ,                                        ,Valid                                   ,X ,Improved
210080830004     ,1994/05/17,    370000,1994/05/20,0000000000          ,Fee conveyance                          ,2147801                                 ,437910                                  ,        ,        ,370.00                                  ,                                        ,Valid                                   ,X ,Improved
210080830004     ,1992/11/18,    445000,1992/11/24,0000000000          ,Fee conveyance                          ,1973208                                 ,336088                                  ,        ,        ,222.50                                  ,                                        ,Other                                   ,7 ,Improved
210080830004     ,1900/01/01,          ,          ,0000000000          ,                                        ,1815194                                 ,315856                                  ,        ,        ,                                        ,                                        ,                                        ,  ,
210080830005     ,2020/10/06,    820000,2020/10/09,                    ,Fee conveyance                          ,T11239001                               ,1201039                                 ,        ,        ,1640                                    ,Warranty deed                           ,Valid Sale                              ,0 ,Improved
210080830005     ,2020/06/08,          ,2020/08/14,                    ,Recorded document                       ,T11183321                               ,                                        ,        ,        ,                                        ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080830005     ,2019/12/10,          ,2020/01/10,T10966225           ,Recorded document                       ,                                        ,                                        ,        ,        ,                                        ,Declaration of/Restatement of CPR       ,                                        ,  ,
210080830005     ,2018/05/10,    725000,2018/05/22,                    ,Fee conveyance                          ,T10368118                               ,1157003                                 ,        ,        ,1812.5                                  ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
210080830005     ,2017/12/04,          ,2017/12/22,                    ,Recorded document                       ,T10217497                               ,                                        ,        ,        ,0                                       ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080830005     ,2017/04/18,          ,2017/05/04,                    ,Recorded document                       ,T9985173                                ,                                        ,        ,        ,0                                       ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080830005     ,2013/08/01,          ,2013/08/07,                    ,Land Court Order (all types)            ,T8619314                                ,489921                                  ,        ,        ,0                                       ,Land Court Order (all types)            ,                                        ,  ,
210080830005     ,2010/08/18,          ,2010/08/18,                    ,Route slip                              ,                                        ,                                        ,        ,        ,                                        ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080830005     ,1997/03/27,    212100,1997/04/04,0000000000          ,Fee conveyance                          ,2374123                                 ,489921                                  ,        ,        ,212.10                                  ,                                        ,Developer sale                          ,8 ,Improved
210080830005     ,1900/01/01,          ,          ,0000000000          ,                                        ,1815194                                 ,315856                                  ,        ,        ,                                        ,                                        ,                                        ,  ,
