cohort,cohort_start,cohort_end,sale_count,q1,median,q3,mean,stddev,notes
Before Bill 9 announcement,2019/01/01,2024/04/30,116,645000,795000,1050000,865585,307582.86,arm's-length sales only
After announcement through passage,2024/05/01,2025/12/14,16,727500,765000,990000,909219,244942.64,arm's-length sales only
After passage,2025/12/15,2026/07/15,7,670000,750000,985000,810429,159877.93,arm's-length sales only
