scope,tmk,building_value_bucket,series_x,series_y,lag_years,pearson_r,spearman_rho,n_observations,notes
collective,,897900,transfer_count,median_price_yoy_pct,1,,,0,bucket turnover leads price change by one year
collective,,899000,transfer_count,median_price_yoy_pct,0,,,0,bucket turnover vs YoY median price change
collective,,899000,transfer_count,median_price_yoy_pct,1,,,0,bucket turnover leads price change by one year
collective,,948200,transfer_count,median_price_yoy_pct,0,,,0,bucket turnover vs YoY median price change
collective,,948200,transfer_count,median_price_yoy_pct,1,,,0,bucket turnover leads price change by one year
collective,,950400,transfer_count,median_price_yoy_pct,0,,,0,bucket turnover vs YoY median price change
collective,,950400,transfer_count,median_price_yoy_pct,1,,,0,bucket turnover leads price change by one year
collective,,988500,transfer_count,median_price_yoy_pct,0,-0.1311,0.0213,11,bucket turnover vs YoY median price change
collective,,988500,transfer_count,median_price_yoy_pct,1,-0.1058,-0.1531,11,bucket turnover leads price change by one year
tmk,239004082,ALL,transfer_count,median_price_yoy_pct,0,0.3354,0.3131,36,same-year turnover vs YoY median price change
tmk,239004082,ALL,transfer_count,median_price_yoy_pct,1,0.3166,0.3963,36,turnover leads price change by one year
tmk,239004082,ALL,transfer_count,median_price,0,-0.3176,-0.1900,37,same-year turnover vs median price level
tmk,239004082,ALL,transfer_count,price_index,0,-0.3176,-0.1900,37,same-year turnover vs price index
tmk,239004082,1003400,transfer_count,median_price_yoy_pct,0,0.2135,0.4211,18,bucket turnover vs YoY median price change
tmk,239004082,1003400,transfer_count,median_price_yoy_pct,1,0.1741,0.2432,18,bucket turnover leads price change by one year
tmk,239004082,1009100,transfer_count,median_price_yoy_pct,0,,,0,bucket turnover vs YoY median price change
tmk,239004082,1009100,transfer_count,median_price_yoy_pct,1,,,0,bucket turnover leads price change by one year
tmk,239004082,1028700,transfer_count,median_price_yoy_pct,0,-0.1909,-0.0883,6,bucket turnover vs YoY median price change
tmk,239004082,1028700,transfer_count,median_price_yoy_pct,1,-0.3756,-0.0588,6,bucket turnover leads price change by one year
tmk,239004082,1031000,transfer_count,median_price_yoy_pct,0,,,1,bucket turnover vs YoY median price change
tmk,239004082,1031000,transfer_count,median_price_yoy_pct,1,,,1,bucket turnover leads price change by one year
tmk,239004082,1128100,transfer_count,median_price_yoy_pct,0,,,0,bucket turnover vs YoY median price change
tmk,239004082,1128100,transfer_count,median_price_yoy_pct,1,,,0,bucket turnover leads price change by one year
tmk,239004082,1252100,transfer_count,median_price_yoy_pct,0,-0.0572,-0.0060,16,bucket turnover vs YoY median price change
tmk,239004082,1252100,transfer_count,median_price_yoy_pct,1,-0.1254,0.0387,16,bucket turnover leads price change by one year
tmk,239004082,1279400,transfer_count,median_price_yoy_pct,0,-0.5663,-0.3162,4,bucket turnover vs YoY median price change
tmk,239004082,1279400,transfer_count,median_price_yoy_pct,1,-0.9658,-0.9487,4,bucket turnover leads price change by one year
tmk,239004082,1282000,transfer_count,median_price_yoy_pct,0,-0.1694,-0.4472,5,bucket turnover vs YoY median price change
tmk,239004082,1282000,transfer_count,median_price_yoy_pct,1,-0.1619,-0.1118,5,bucket turnover leads price change by one year
tmk,239004082,1350100,transfer_count,median_price_yoy_pct,0,,,2,bucket turnover vs YoY median price change
tmk,239004082,1350100,transfer_count,median_price_yoy_pct,1,,,2,bucket turnover leads price change by one year
tmk,239004082,588200,transfer_count,median_price_yoy_pct,0,0.3205,0.6012,14,bucket turnover vs YoY median price change
tmk,239004082,588200,transfer_count,median_price_yoy_pct,1,0.3894,0.4782,14,bucket turnover leads price change by one year
tmk,239004082,589600,transfer_count,median_price_yoy_pct,0,,,0,bucket turnover vs YoY median price change
tmk,239004082,589600,transfer_count,median_price_yoy_pct,1,,,0,bucket turnover leads price change by one year
tmk,239004082,617500,transfer_count,median_price_yoy_pct,0,0.3000,0.3981,24,bucket turnover vs YoY median price change
tmk,239004082,617500,transfer_count,median_price_yoy_pct,1,0.3570,0.4824,24,bucket turnover leads price change by one year
tmk,239004082,624900,transfer_count,median_price_yoy_pct,0,-0.5740,-0.8660,3,bucket turnover vs YoY median price change
tmk,239004082,624900,transfer_count,median_price_yoy_pct,1,-0.4221,0.0000,3,bucket turnover leads price change by one year
tmk,239004082,637800,transfer_count,median_price_yoy_pct,0,,,1,bucket turnover vs YoY median price change
tmk,239004082,637800,transfer_count,median_price_yoy_pct,1,,,1,bucket turnover leads price change by one year
tmk,239004082,638300,transfer_count,median_price_yoy_pct,0,0.3743,0.3737,20,bucket turnover vs YoY median price change
tmk,239004082,638300,transfer_count,median_price_yoy_pct,1,0.2351,0.3598,20,bucket turnover leads price change by one year
tmk,239004082,656900,transfer_count,median_price_yoy_pct,0,,,1,bucket turnover vs YoY median price change
tmk,239004082,656900,transfer_count,median_price_yoy_pct,1,,,1,bucket turnover leads price change by one year
tmk,239004082,696100,transfer_count,median_price_yoy_pct,0,,,1,bucket turnover vs YoY median price change
tmk,239004082,696100,transfer_count,median_price_yoy_pct,1,,,1,bucket turnover leads price change by one year
tmk,239004082,756100,transfer_count,median_price_yoy_pct,0,,,0,bucket turnover vs YoY median price change
tmk,239004082,756100,transfer_count,median_price_yoy_pct,1,,,0,bucket turnover leads price change by one year
tmk,239004082,768100,transfer_count,median_price_yoy_pct,0,,,0,bucket turnover vs YoY median price change
tmk,239004082,768100,transfer_count,median_price_yoy_pct,1,,,0,bucket turnover leads price change by one year
tmk,239004082,800000,transfer_count,median_price_yoy_pct,0,0.0045,-0.0297,21,bucket turnover vs YoY median price change
tmk,239004082,800000,transfer_count,median_price_yoy_pct,1,0.3978,0.3758,21,bucket turnover leads price change by one year
tmk,239004082,830200,transfer_count,median_price_yoy_pct,0,,,0,bucket turnover vs YoY median price change
tmk,239004082,830200,transfer_count,median_price_yoy_pct,1,,,0,bucket turnover leads price change by one year
tmk,239004082,834000,transfer_count,median_price_yoy_pct,0,-0.2843,-0.0371,11,bucket turnover vs YoY median price change
