scope,tmk,total_units,hi_pct,non_hi_pct,unknown_pct,hi_pct_excl_flagged_entities,proxy_resolved_units,proxy_resolved_pct,hi_units,non_hi_units,mixed_units,unknown_units
collective,,316,15.0316,84.6519,0.3165,14.3987,316,100.0000,47,267,1,1
tmk,239004082,240,16.8750,82.7083,0.4167,16.0417,240,100.0000,40,198,1,1
tmk,239004143,28,3.5714,96.4286,0.0000,3.5714,28,100.0000,1,27,0,0
tmk,239004144,48,12.5000,87.5000,0.0000,12.5000,48,100.0000,6,42,0,0
