scope,tmk,period,period_label,period_start,period_end,transfer_count,priced_sale_count,transfers_per_year,median_sale_price,mean_sale_price,hi_pct_transfers,non_hi_pct_transfers,unknown_pct_transfers,unique_units_transferred,newly_resolved_units,newly_resolved_hi_pct,newly_resolved_non_hi_pct,portfolio_hi_pct,portfolio_non_hi_pct,portfolio_unknown_pct,non_hi_pct_high_price_transfers,non_hi_pct_low_price_transfers,high_price_transfer_count,low_price_transfer_count,notes
collective,"239004082,239004143,239004144",pre_bill9,Pre–Bill 9 (2019-01-01 through 2024-05-01),2019/01/01,2024/05/01,176,116,33.0000,795000,865585,14.7727,84.6591,0.5682,124,1,0.0000,100.0000,15.0316,84.6519,0.3165,89.6552,77.5862,58,58,portfolio snapshot at 2024/05/01; transfer residency from 2026 fullownr proxy
collective,"239004082,239004143,239004144",post_bill9,Post–Bill 9 (2024-06-01 through today),2024/06/01,2026/07/19,39,22,18.2859,755000,858205,25.6410,71.7949,2.5641,36,0,0.0000,0.0000,15.0316,84.6519,0.3165,81.8182,54.5455,11,11,portfolio snapshot at 2026/07/19; transfer residency from 2026 fullownr proxy
