year,scope,tmk,as_of_date,total_units,hi_pct,non_hi_pct,unknown_pct,non_hi_pct_of_resolved,unresolved_units,unresolved_pct,proxy_resolved_units,proxy_resolved_pct,hi_units,non_hi_units,mixed_units,unknown_units,resolved_units,transfer_count,first_transfer_count,newly_resolved_units,tmk_unit_pct,source,notes
2006,tmk,239004143,2006/12/31,28,3.5714,96.4286,0.0000,96.4286,0,0.0000,28,100.0000,1,27,0,0,28,3,0,0,8.8608,fullownr_proxy,TMK 239004143 share of active collective portfolio at year-end
2006,tmk,239004144,2006/12/31,48,12.5000,87.5000,0.0000,87.5000,0,0.0000,48,100.0000,6,42,0,0,48,6,0,0,15.1899,fullownr_proxy,TMK 239004144 share of active collective portfolio at year-end
2007,collective,,2007/12/31,316,15.0316,84.3354,0.6329,84.8726,1,0.3165,315,99.6835,47,266,1,2,314,39,0,0,100.0000,fullownr_proxy,"year-end snapshot; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 239004082, 239004143, 239004144"
2007,tmk,239004082,2007/12/31,240,16.8750,82.2917,0.8333,82.9832,1,0.4167,239,99.5833,40,197,1,2,238,32,0,0,75.9494,fullownr_proxy,TMK 239004082 share of active collective portfolio at year-end
2007,tmk,239004143,2007/12/31,28,3.5714,96.4286,0.0000,96.4286,0,0.0000,28,100.0000,1,27,0,0,28,3,0,0,8.8608,fullownr_proxy,TMK 239004143 share of active collective portfolio at year-end
2007,tmk,239004144,2007/12/31,48,12.5000,87.5000,0.0000,87.5000,0,0.0000,48,100.0000,6,42,0,0,48,4,0,0,15.1899,fullownr_proxy,TMK 239004144 share of active collective portfolio at year-end
2008,collective,,2008/12/31,316,15.0316,84.3354,0.6329,84.8726,1,0.3165,315,99.6835,47,266,1,2,314,20,0,0,100.0000,fullownr_proxy,"year-end snapshot; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 239004082, 239004143, 239004144"
2008,tmk,239004082,2008/12/31,240,16.8750,82.2917,0.8333,82.9832,1,0.4167,239,99.5833,40,197,1,2,238,12,0,0,75.9494,fullownr_proxy,TMK 239004082 share of active collective portfolio at year-end
2008,tmk,239004143,2008/12/31,28,3.5714,96.4286,0.0000,96.4286,0,0.0000,28,100.0000,1,27,0,0,28,1,0,0,8.8608,fullownr_proxy,TMK 239004143 share of active collective portfolio at year-end
2008,tmk,239004144,2008/12/31,48,12.5000,87.5000,0.0000,87.5000,0,0.0000,48,100.0000,6,42,0,0,48,7,0,0,15.1899,fullownr_proxy,TMK 239004144 share of active collective portfolio at year-end
2009,collective,,2009/12/31,316,15.0316,84.3354,0.6329,84.8726,1,0.3165,315,99.6835,47,266,1,2,314,14,0,0,100.0000,fullownr_proxy,"year-end snapshot; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 239004082, 239004143, 239004144"
2009,tmk,239004082,2009/12/31,240,16.8750,82.2917,0.8333,82.9832,1,0.4167,239,99.5833,40,197,1,2,238,10,0,0,75.9494,fullownr_proxy,TMK 239004082 share of active collective portfolio at year-end
2009,tmk,239004143,2009/12/31,28,3.5714,96.4286,0.0000,96.4286,0,0.0000,28,100.0000,1,27,0,0,28,0,0,0,8.8608,fullownr_proxy,TMK 239004143 share of active collective portfolio at year-end
2009,tmk,239004144,2009/12/31,48,12.5000,87.5000,0.0000,87.5000,0,0.0000,48,100.0000,6,42,0,0,48,4,0,0,15.1899,fullownr_proxy,TMK 239004144 share of active collective portfolio at year-end
2010,collective,,2010/12/31,316,15.0316,84.3354,0.6329,84.8726,1,0.3165,315,99.6835,47,266,1,2,314,26,0,0,100.0000,fullownr_proxy,"year-end snapshot; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 239004082, 239004143, 239004144"
2010,tmk,239004082,2010/12/31,240,16.8750,82.2917,0.8333,82.9832,1,0.4167,239,99.5833,40,197,1,2,238,23,0,0,75.9494,fullownr_proxy,TMK 239004082 share of active collective portfolio at year-end
2010,tmk,239004143,2010/12/31,28,3.5714,96.4286,0.0000,96.4286,0,0.0000,28,100.0000,1,27,0,0,28,0,0,0,8.8608,fullownr_proxy,TMK 239004143 share of active collective portfolio at year-end
2010,tmk,239004144,2010/12/31,48,12.5000,87.5000,0.0000,87.5000,0,0.0000,48,100.0000,6,42,0,0,48,3,0,0,15.1899,fullownr_proxy,TMK 239004144 share of active collective portfolio at year-end
2011,collective,,2011/12/31,316,15.0316,84.3354,0.6329,84.8726,1,0.3165,315,99.6835,47,266,1,2,314,26,0,0,100.0000,fullownr_proxy,"year-end snapshot; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 239004082, 239004143, 239004144"
2011,tmk,239004082,2011/12/31,240,16.8750,82.2917,0.8333,82.9832,1,0.4167,239,99.5833,40,197,1,2,238,20,0,0,75.9494,fullownr_proxy,TMK 239004082 share of active collective portfolio at year-end
2011,tmk,239004143,2011/12/31,28,3.5714,96.4286,0.0000,96.4286,0,0.0000,28,100.0000,1,27,0,0,28,2,0,0,8.8608,fullownr_proxy,TMK 239004143 share of active collective portfolio at year-end
2011,tmk,239004144,2011/12/31,48,12.5000,87.5000,0.0000,87.5000,0,0.0000,48,100.0000,6,42,0,0,48,4,0,0,15.1899,fullownr_proxy,TMK 239004144 share of active collective portfolio at year-end
2012,collective,,2012/12/31,316,15.0316,84.3354,0.6329,84.8726,1,0.3165,315,99.6835,47,266,1,2,314,22,0,0,100.0000,fullownr_proxy,"year-end snapshot; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 239004082, 239004143, 239004144"
2012,tmk,239004082,2012/12/31,240,16.8750,82.2917,0.8333,82.9832,1,0.4167,239,99.5833,40,197,1,2,238,11,0,0,75.9494,fullownr_proxy,TMK 239004082 share of active collective portfolio at year-end
2012,tmk,239004143,2012/12/31,28,3.5714,96.4286,0.0000,96.4286,0,0.0000,28,100.0000,1,27,0,0,28,5,0,0,8.8608,fullownr_proxy,TMK 239004143 share of active collective portfolio at year-end
2012,tmk,239004144,2012/12/31,48,12.5000,87.5000,0.0000,87.5000,0,0.0000,48,100.0000,6,42,0,0,48,6,0,0,15.1899,fullownr_proxy,TMK 239004144 share of active collective portfolio at year-end
2013,collective,,2013/12/31,316,15.0316,84.3354,0.6329,84.8726,1,0.3165,315,99.6835,47,266,1,2,314,34,0,0,100.0000,fullownr_proxy,"year-end snapshot; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 239004082, 239004143, 239004144"
2013,tmk,239004082,2013/12/31,240,16.8750,82.2917,0.8333,82.9832,1,0.4167,239,99.5833,40,197,1,2,238,28,0,0,75.9494,fullownr_proxy,TMK 239004082 share of active collective portfolio at year-end
2013,tmk,239004143,2013/12/31,28,3.5714,96.4286,0.0000,96.4286,0,0.0000,28,100.0000,1,27,0,0,28,1,0,0,8.8608,fullownr_proxy,TMK 239004143 share of active collective portfolio at year-end
2013,tmk,239004144,2013/12/31,48,12.5000,87.5000,0.0000,87.5000,0,0.0000,48,100.0000,6,42,0,0,48,5,0,0,15.1899,fullownr_proxy,TMK 239004144 share of active collective portfolio at year-end
2014,collective,,2014/12/31,316,15.0316,84.3354,0.6329,84.8726,1,0.3165,315,99.6835,47,266,1,2,314,26,0,0,100.0000,fullownr_proxy,"year-end snapshot; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 239004082, 239004143, 239004144"
2014,tmk,239004082,2014/12/31,240,16.8750,82.2917,0.8333,82.9832,1,0.4167,239,99.5833,40,197,1,2,238,19,0,0,75.9494,fullownr_proxy,TMK 239004082 share of active collective portfolio at year-end
2014,tmk,239004143,2014/12/31,28,3.5714,96.4286,0.0000,96.4286,0,0.0000,28,100.0000,1,27,0,0,28,2,0,0,8.8608,fullownr_proxy,TMK 239004143 share of active collective portfolio at year-end
2014,tmk,239004144,2014/12/31,48,12.5000,87.5000,0.0000,87.5000,0,0.0000,48,100.0000,6,42,0,0,48,5,0,0,15.1899,fullownr_proxy,TMK 239004144 share of active collective portfolio at year-end
2015,collective,,2015/12/31,316,15.0316,84.3354,0.6329,84.8726,1,0.3165,315,99.6835,47,266,1,2,314,23,0,0,100.0000,fullownr_proxy,"year-end snapshot; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 239004082, 239004143, 239004144"
2015,tmk,239004082,2015/12/31,240,16.8750,82.2917,0.8333,82.9832,1,0.4167,239,99.5833,40,197,1,2,238,17,0,0,75.9494,fullownr_proxy,TMK 239004082 share of active collective portfolio at year-end
2015,tmk,239004143,2015/12/31,28,3.5714,96.4286,0.0000,96.4286,0,0.0000,28,100.0000,1,27,0,0,28,2,0,0,8.8608,fullownr_proxy,TMK 239004143 share of active collective portfolio at year-end
2015,tmk,239004144,2015/12/31,48,12.5000,87.5000,0.0000,87.5000,0,0.0000,48,100.0000,6,42,0,0,48,4,0,0,15.1899,fullownr_proxy,TMK 239004144 share of active collective portfolio at year-end
2016,collective,,2016/12/31,316,15.0316,84.3354,0.6329,84.8726,1,0.3165,315,99.6835,47,266,1,2,314,19,0,0,100.0000,fullownr_proxy,"year-end snapshot; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 239004082, 239004143, 239004144"
2016,tmk,239004082,2016/12/31,240,16.8750,82.2917,0.8333,82.9832,1,0.4167,239,99.5833,40,197,1,2,238,12,0,0,75.9494,fullownr_proxy,TMK 239004082 share of active collective portfolio at year-end
2016,tmk,239004143,2016/12/31,28,3.5714,96.4286,0.0000,96.4286,0,0.0000,28,100.0000,1,27,0,0,28,2,0,0,8.8608,fullownr_proxy,TMK 239004143 share of active collective portfolio at year-end
2016,tmk,239004144,2016/12/31,48,12.5000,87.5000,0.0000,87.5000,0,0.0000,48,100.0000,6,42,0,0,48,5,0,0,15.1899,fullownr_proxy,TMK 239004144 share of active collective portfolio at year-end
