DIVISION - TMK,ZONE - TMK,SECTION - TMK,PLAT - TMK,PARCEL - TMK,CPR - TMK,PARCEL YEAR,MULTIPLE CLASS FLAG,STREET NUMBER PRE,STREET NUMBER,ADDITIONAL STREET NUMBER,STREET DIRECTION,STREET,STREET NAME SUFFIX,UNIT DESCRIPTION,UNIT,PARCEL ACRES,NEIGHBORHOOD CODE
2,3,9,004,143,0000,2026,,,2777,,S,KIHEI,RD,,,,C396
2,3,9,004,143,0001,2026,,,2777,,S,KIHEI,RD,UNIT,A101,,C396
2,3,9,004,143,0002,2026,,,2777,,S,KIHEI,RD,UNIT,A102,,C396
2,3,9,004,143,0003,2026,,,2777,,S,KIHEI,RD,UNIT,A103,,C396
2,3,9,004,143,0004,2026,,,2777,,S,KIHEI,RD,UNIT,A104,,C396
2,3,9,004,143,0005,2026,,,2777,,S,KIHEI,RD,UNIT,A105,,C396
2,3,9,004,143,0006,2026,,,2777,,S,KIHEI,RD,UNIT,A106,,C396
2,3,9,004,143,0007,2026,,,2777,,S,KIHEI,RD,UNIT,A107,,C396
2,3,9,004,143,0008,2026,,,2777,,S,KIHEI,RD,UNIT,A108,,C396
2,3,9,004,143,0009,2026,,,2777,,S,KIHEI,RD,UNIT,A109,,C396
2,3,9,004,143,0010,2026,,,2777,,S,KIHEI,RD,UNIT,A110,,C396
2,3,9,004,143,0011,2026,,,2777,,S,KIHEI,RD,UNIT,A111,,C396
2,3,9,004,143,0012,2026,,,2777,,S,KIHEI,RD,UNIT,A112,,C396
2,3,9,004,143,0013,2026,,,2777,,S,KIHEI,RD,UNIT,A114,,C396
2,3,9,004,143,0014,2026,,,2777,,S,KIHEI,RD,UNIT,A115,,C396
2,3,9,004,143,0015,2026,,,2777,,S,KIHEI,RD,UNIT,A201,,C396
2,3,9,004,143,0016,2026,,,2777,,S,KIHEI,RD,UNIT,A202,,C396
2,3,9,004,143,0017,2026,,,2777,,S,KIHEI,RD,UNIT,A203,,C396
2,3,9,004,143,0018,2026,,,2777,,S,KIHEI,RD,UNIT,A204,,C396
2,3,9,004,143,0019,2026,,,2777,,S,KIHEI,RD,UNIT,A205,,C396
2,3,9,004,143,0020,2026,,,2777,,S,KIHEI,RD,UNIT,A206,,C396
2,3,9,004,143,0021,2026,,,2777,,S,KIHEI,RD,UNIT,A207,,C396
2,3,9,004,143,0022,2026,,,2777,,S,KIHEI,RD,UNIT,A208,,C396
2,3,9,004,143,0023,2026,,,2777,,S,KIHEI,RD,UNIT,A209,,C396
2,3,9,004,143,0024,2026,,,2777,,S,KIHEI,RD,UNIT,A210,,C396
2,3,9,004,143,0025,2026,,,2777,,S,KIHEI,RD,UNIT,A211,,C396
2,3,9,004,143,0026,2026,,,2777,,S,KIHEI,RD,UNIT,A212,,C396
2,3,9,004,143,0027,2026,,,2777,,S,KIHEI,RD,UNIT,A214,,C396
2,3,9,004,143,0028,2026,,,2777,,S,KIHEI,RD,UNIT,A215,,C396
