DIVISION-TMK,ZONE - TMK,SECTION - TMK,PLAT - TMK,PARCEL - TMK,CPR - TMK,PARCEL YEAR,LAND CLASS,TAX RATE CLASS,ASSESSED LAND VALUE,LAND EXEMPTION,ASSESSED BUILDING VALUE,BUILDING EXEMPTION
2,3,9,004,144,0000,2026,11,11,000000000000,000000000000,000000000000,000000000000
2,3,9,004,144,0001,2026,11,11,000000083500,000000000000,000000617500,000000000000
2,3,9,004,144,0002,2026,11,11,000000083500,000000000000,000000617500,000000000000
2,3,9,004,144,0003,2026,11,11,000000101700,000000000000,000000624900,000000000000
2,3,9,004,144,0004,2026,11,11,000000101700,000000000000,000000624900,000000000000
2,3,9,004,144,0005,2026,11,11,000000083500,000000000000,000000617500,000000000000
2,3,9,004,144,0006,2026,11,11,000000083500,000000000000,000000617500,000000000000
2,3,9,004,144,0007,2026,11,11,000000083500,000000000000,000000617500,000000000000
2,3,9,004,144,0008,2026,11,9,000000083500,000000000000,000000617500,000000300000
2,3,9,004,144,0009,2026,11,11,000000101700,000000000000,000000624900,000000000000
2,3,9,004,144,0010,2026,11,11,000000102900,000000000000,000000589600,000000000000
2,3,9,004,144,0011,2026,11,11,000000083500,000000000000,000000617500,000000000000
2,3,9,004,144,0012,2026,11,11,000000083500,000000000000,000000656900,000000000000
2,3,9,004,144,0013,2026,11,11,000000083500,000000000000,000000617500,000000000000
2,3,9,004,144,0014,2026,11,11,000000083500,000000000000,000000617500,000000000000
2,3,9,004,144,0015,2026,11,11,000000100800,000000000000,000000800000,000000000000
2,3,9,004,144,0016,2026,11,11,000000100800,000000000000,000000800000,000000000000
2,3,9,004,144,0017,2026,11,11,000000117100,000000000000,000000834000,000000000000
2,3,9,004,144,0018,2026,11,11,000000117100,000000000000,000000834000,000000000000
2,3,9,004,144,0019,2026,11,11,000000100800,000000000000,000000800000,000000000000
2,3,9,004,144,0020,2026,11,11,000000100800,000000000000,000000800000,000000000000
2,3,9,004,144,0021,2026,11,11,000000100800,000000000000,000000800000,000000000000
2,3,9,004,144,0022,2026,11,11,000000100800,000000000000,000000948200,000000000000
2,3,9,004,144,0023,2026,11,11,000000129400,000000000000,000001066700,000000000000
2,3,9,004,144,0024,2026,11,11,000000129400,000000000000,000001066700,000000000000
2,3,9,004,144,0025,2026,11,11,000000100800,000000000000,000000800000,000000000000
2,3,9,004,144,0026,2026,11,11,000000100800,000000000000,000000800000,000000000000
2,3,9,004,144,0027,2026,11,11,000000100800,000000000000,000000800000,000000000000
2,3,9,004,144,0028,2026,11,11,000000100800,000000000000,000000800000,000000000000
2,3,9,004,144,0029,2026,11,11,000000101700,000000000000,000000624900,000000000000
2,3,9,004,144,0030,2026,11,11,000000101700,000000000000,000000764200,000000000000
2,3,9,004,144,0031,2026,11,11,000000083500,000000000000,000000617500,000000000000
2,3,9,004,144,0032,2026,11,11,000000083500,000000000000,000000617500,000000000000
2,3,9,004,144,0033,2026,11,11,000000083500,000000000000,000000617500,000000000000
2,3,9,004,144,0034,2026,11,11,000000083500,000000000000,000000617500,000000000000
2,3,9,004,144,0035,2026,11,11,000000083500,000000000000,000000617500,000000000000
2,3,9,004,144,0036,2026,11,11,000000083500,000000000000,000000617500,000000000000
2,3,9,004,144,0037,2026,11,11,000000083500,000000000000,000000617500,000000000000
2,3,9,004,144,0038,2026,11,11,000000083500,000000000000,000000617500,000000000000
2,3,9,004,144,0039,2026,11,11,000000117100,000000000000,000000834000,000000000000
2,3,9,004,144,0040,2026,11,11,000000117100,000000000000,000000834000,000000000000
2,3,9,004,144,0041,2026,11,11,000000100800,000000000000,000000800000,000000000000
2,3,9,004,144,0042,2026,11,11,000000100800,000000000000,000000800000,000000000000
2,3,9,004,144,0043,2026,12,12,000000100800,000000000000,000000800000,000000200000
2,3,9,004,144,0044,2026,11,11,000000100800,000000000000,000000800000,000000000000
2,3,9,004,144,0045,2026,11,11,000000100800,000000000000,000000800000,000000000000
2,3,9,004,144,0046,2026,11,11,000000100800,000000000000,000000800000,000000000000
2,3,9,004,144,0047,2026,11,11,000000100800,000000000000,000000800000,000000000000
2,3,9,004,144,0048,2026,11,11,000000100800,000000000000,000000800000,000000000000
